Peça,Material,C,L,Qtde.,EST,Cod. Peça,Família,Cor,Tipo Assistência,Nº AT,Data Pedido,Nº OP,C,L,F,Prancha
LATERAL DIREITA,MDF15-110002002,"    782,00000","    306,00000","    1,00000",N,510524001,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,JEQUITIBA FOSCO/GRIS FOSCO,,,,,C,C/E,S,1
PRATELEIRA,MDF15-110002002,"   1170,00000","    305,00000","    1,00000",N,510524002,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,JEQUITIBA FOSCO,,,,,C,,S,1
DIVISAO,MDF15-110002002,"    304,00000","    269,00000","    2,00000",N,510524003,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,JEQUITIBA FOSCO,,,,,,C,S,1
CHAPEU,MDF15-110002002,"   1170,00000","    305,00000","    1,00000",N,510524004,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,JEQUITIBA FOSCO,,,,,C,,S,1
BASE INFERIOR,MDF15-110002002,"   1170,00000","    305,00000","    1,00000",N,510524005,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,JEQUITIBA FOSCO/GRIS FOSCO,,,,,C,,S,1
BASE CENTRAL,MDF15-110002002,"   1170,00000","    305,00000","    1,00000",N,510524006,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,JEQUITIBA FOSCO/GRIS FOSCO,,,,,C,,S,1
LATERAL ESQUERDA,MDF15-110002002,"    782,00000","    306,00000","    1,00000",N,510524007,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,JEQUITIBA FOSCO/GRIS FOSCO,,,,,C,C/E,S,1
MOLDURA FUNDO NICHO,MDF15-110002002,"   1170,00000","    154,00000","    1,00000",N,510524008,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,JEQUITIBA FOSCO,,,,,,,S,1
ENCABECAMENTO SUPERIOR,MDF18-110002005,"   1200,00000","     31,00000","    1,00000",N,510524009,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,JEQUITIBA FOSCO,,,,,,HS/HS,N,1
QUADRO NICHO,MDF15-110002002,"   1202,00000","    175,00000","    1,00000",N,510524010,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,GRIS FOSCO,,,,,,,N,2
FUNDO,MDF2.8-110002001,"   1196,00000","    290,00000","    2,00000",N,510524011,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,JEQUITIBA FOSCO,,,,,,,N,1
PORTA,MDF15-110002002,"    572,00000","    399,00000","    3,00000",N,510524012,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,GRIS FOSCO,,,,,C/C,C/C,S,2
ENCABECAMENTO INFERIOR QUADRO NICHO,MDF15-110002002,"   1202,00000","     31,00000","    1,00000",N,510524013,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,GRIS FOSCO,,,,,,,N,2
ENCABECAMENTO LATERAL QUADRO NICHO,MDF15-110002002,"    175,00000","     31,00000","    2,00000",N,510524014,AEREO 3 PORTAS 1 NICHO 1.2M ALLURE,GRIS FOSCO,,,,,,HS,N,2
MECO114.GER - Engenharia/Composição Produto/Serviço (Modelo) - 17/12/2025 - 14:07,enzo.pedrica
